Client_Organization,Client_ID,Industry,Tier,Total_Requests,Success_Rate_%,Avg_Response_Time_ms,Total_Data_MB,Monthly_Quota,Quota_Used_%,Active_Users,Most_Used_Endpoint,Onboarding_Date,Last_Activity,SLA_Tier,Support_Priority
LVMH Group,CLT-78945,Luxury Retail,Enterprise,156789,98.9,234,2811.87,4036055,3.9,385,/api/a2a/gemini,2025-09-29,2026-02-05 10:00:43,99.95%,P1
Louis Vuitton,CLT-78946,Luxury Fashion,Premium,87456,99.1,221,1377.18,1710181,5.1,262,/api/a2a/gemini,2025-07-18,2026-02-05 19:00:43,99.90%,P2
Dior,CLT-78947,Luxury Fashion,Premium,98234,98.8,228,1418.35,1596922,6.2,287,/api/a2a/brand,2025-09-26,2026-02-03 02:00:43,99.90%,P2
Sephora,CLT-78948,Beauty Retail,Premium,76234,98.6,251,1267.04,1559416,4.9,180,/api/a2a/gemini,2025-09-26,2026-02-05 02:00:43,99.90%,P2
Fendi,CLT-78949,Luxury Fashion,Standard,34892,98.8,246,545.71,856334,4.1,83,/api/a2a/brand,2026-01-19,2026-02-04 19:00:43,99.85%,P3
Givenchy,CLT-78950,Luxury Fashion,Standard,21234,98.9,244,359.93,1191203,1.8,53,/api/a2a/brand,2025-08-17,2026-02-03 12:00:43,99.85%,P3
Moët Hennessy,CLT-78951,Luxury Beverages,Standard,38456,99.0,238,651.76,874597,4.4,137,/api/a2a/public,2025-08-14,2026-02-04 02:00:43,99.85%,P3
Bulgari,CLT-78952,Luxury Jewelry,Standard,28456,99.1,241,497.68,1077755,2.6,106,/api/a2a/hushh-profile,2025-07-16,2026-02-05 12:00:43,99.85%,P3
TAG Heuer,CLT-78953,Luxury Watches,Standard,25678,98.7,249,372.78,909975,2.8,57,/api/a2a/brand,2026-01-04,2026-02-04 19:00:43,99.85%,P3
Tiffany & Co,CLT-78954,Luxury Jewelry,Standard,45678,98.9,243,768.65,998695,4.6,109,/api/a2a/hushh-profile,2025-08-28,2026-02-05 05:00:43,99.85%,P3
DFS Group,CLT-78955,Travel Retail,Standard,19456,98.8,247,297.87,748495,2.6,54,/api/a2a/brand,2026-01-01,2026-02-03 17:00:43,99.85%,P3
Kenzo,CLT-78956,Fashion,Starter,16789,98.6,252,279.89,385824,4.4,44,/api/a2a/gemini,2025-10-29,2026-02-04 21:00:43,99.80%,P4
Berluti,CLT-78957,Luxury Menswear,Starter,14234,99.0,239,231.67,241818,5.9,37,/api/a2a/public,2025-09-08,2026-02-03 00:00:43,99.80%,P4
Loewe,CLT-78958,Luxury Fashion,Starter,12456,98.7,248,209.39,315929,3.9,43,/api/a2a/gemini,2025-10-29,2026-02-04 12:00:43,99.80%,P4
Rimowa,CLT-78959,Luxury Luggage,Starter,10892,98.9,242,152.8,173355,6.3,36,/api/a2a/brand,2025-07-08,2026-02-04 14:00:43,99.80%,P4
Hublot,CLT-78960,Luxury Watches,Starter,9234,99.1,237,144.81,333878,2.8,33,/api/a2a/hushh-profile,2025-08-30,2026-02-03 18:00:43,99.80%,P4
Zenith,CLT-78961,Luxury Watches,Starter,7856,98.8,245,116.88,348824,2.3,25,/api/a2a/public,2025-07-07,2026-02-04 17:00:43,99.80%,P4
Celine,CLT-78962,Luxury Fashion,Premium,65432,98.9,235,994.94,1719530,3.8,172,/api/a2a/hushh-profile,2025-10-10,2026-02-03 18:00:43,99.90%,P2
Marc Jacobs,CLT-78963,Fashion,Standard,22345,98.7,248,401.94,777678,2.9,57,/api/a2a/gemini,2025-12-04,2026-02-04 20:00:43,99.85%,P3
Loro Piana,CLT-78964,Luxury Fashion,Standard,18976,99.0,240,317.73,841712,2.3,49,/api/a2a/brand,2025-12-31,2026-02-05 02:00:43,99.85%,P3
Reliance Industries,CLT-78965,Conglomerate,Enterprise,142345,98.7,245,2363.22,4529958,3.1,398,/api/a2a/brand,2025-12-20,2026-02-03 11:00:43,99.95%,P1
Reliance Retail,CLT-78966,Retail,Premium,71892,98.5,256,1014.67,2234303,3.2,162,/api/a2a/public,2025-08-31,2026-02-03 17:00:43,99.90%,P2
Jio Platforms,CLT-78967,Telecommunications,Premium,43234,98.4,267,681.51,1561957,2.8,100,/api/a2a/brand,2025-11-10,2026-02-05 05:00:43,99.90%,P2
Reliance Digital,CLT-78968,Electronics Retail,Standard,23892,98.5,258,362.54,1114071,2.1,58,/api/a2a/public,2025-10-24,2026-02-03 08:00:43,99.85%,P3
Hamleys,CLT-78969,Toy Retail,Standard,31245,98.6,253,491.05,812568,3.8,89,/api/a2a/public,2025-07-09,2026-02-03 02:00:43,99.85%,P3
Reliance Fresh,CLT-78970,Grocery Retail,Standard,29876,98.6,255,502.75,610502,4.9,80,/api/a2a/hushh-profile,2025-08-24,2026-02-04 14:00:43,99.85%,P3
Reliance Trends,CLT-78971,Fashion Retail,Standard,27654,98.5,257,457.36,1197058,2.3,93,/api/a2a/brand,2025-10-19,2026-02-03 00:00:43,99.85%,P3
Jio Mart,CLT-78972,E-commerce,Premium,54321,98.7,250,968.01,2437461,2.2,134,/api/a2a/public,2025-08-27,2026-02-03 09:00:43,99.90%,P2
Reliance Smart,CLT-78973,Retail,Standard,19234,98.6,259,316.26,890526,2.2,67,/api/a2a/hushh-profile,2025-09-29,2026-02-04 04:00:43,99.85%,P3
Netmeds,CLT-78974,Pharmacy,Standard,15678,98.8,253,272.04,1161347,1.3,59,/api/a2a/hushh-profile,2025-12-11,2026-02-03 22:00:43,99.85%,P3
Gucci,CLT-78975,Luxury Fashion,Premium,89234,98.8,232,1430.05,1562347,5.7,294,/api/a2a/brand,2025-12-02,2026-02-04 20:00:43,99.90%,P2
Prada,CLT-78976,Luxury Fashion,Premium,78456,98.9,236,1359.7,2377032,3.3,228,/api/a2a/brand,2025-10-19,2026-02-04 01:00:43,99.90%,P2
Hermes,CLT-78977,Luxury Fashion,Enterprise,95678,99.2,219,1499.43,4377705,2.2,328,/api/a2a/gemini,2025-12-30,2026-02-04 06:00:43,99.95%,P1
Chanel,CLT-78978,Luxury Fashion,Enterprise,102345,99.1,223,1758.68,4561470,2.2,257,/api/a2a/gemini,2025-11-10,2026-02-03 00:00:43,99.95%,P1
Burberry,CLT-78979,Luxury Fashion,Premium,67890,98.7,241,1019.28,1916129,3.5,270,/api/a2a/brand,2025-09-27,2026-02-03 08:00:43,99.90%,P2
Cartier,CLT-78980,Luxury Jewelry,Premium,73456,99.0,234,1320.8,2244898,3.3,220,/api/a2a/brand,2025-12-03,2026-02-05 15:00:43,99.90%,P2
Rolex,CLT-78981,Luxury Watches,Premium,68234,99.2,228,1143.76,1615541,4.2,231,/api/a2a/public,2025-08-08,2026-02-03 18:00:43,99.90%,P2
Versace,CLT-78982,Luxury Fashion,Standard,32156,98.8,246,456.18,1076871,3.0,83,/api/a2a/gemini,2025-12-11,2026-02-05 20:00:43,99.85%,P3
Armani,CLT-78983,Luxury Fashion,Premium,61234,98.9,238,971.84,2341075,2.6,196,/api/a2a/brand,2025-12-14,2026-02-04 13:00:43,99.90%,P2
Dolce & Gabbana,CLT-78984,Luxury Fashion,Standard,38912,98.7,247,694.13,619169,6.3,103,/api/a2a/brand,2025-07-11,2026-02-04 05:00:43,99.85%,P3
Nordstrom,CLT-78985,Department Store,Premium,56789,98.6,252,1008.74,1956062,2.9,193,/api/a2a/gemini,2026-01-14,2026-02-03 04:00:43,99.90%,P2
Saks Fifth Avenue,CLT-78986,Luxury Department Store,Premium,49876,98.8,243,758.83,2020404,2.5,155,/api/a2a/hushh-profile,2025-08-17,2026-02-04 11:00:43,99.90%,P2
Neiman Marcus,CLT-78987,Luxury Department Store,Standard,42345,98.7,248,689.94,882658,4.8,109,/api/a2a/hushh-profile,2026-01-29,2026-02-03 03:00:43,99.85%,P3
Bloomingdale's,CLT-78988,Department Store,Standard,38765,98.6,251,545.96,656385,5.9,95,/api/a2a/brand,2025-11-25,2026-02-05 08:00:43,99.85%,P3
Macy's,CLT-78989,Department Store,Standard,35678,98.5,254,514.89,1092476,3.3,102,/api/a2a/gemini,2025-10-14,2026-02-04 15:00:43,99.85%,P3
Target,CLT-78990,Retail,Premium,52341,98.7,249,767.38,2248850,2.3,202,/api/a2a/brand,2025-12-31,2026-02-04 23:00:43,99.90%,P2
Walmart,CLT-78991,Retail,Enterprise,98765,98.6,256,1571.74,4057689,2.4,388,/api/a2a/gemini,2025-09-09,2026-02-05 07:00:43,99.95%,P1
Costco,CLT-78992,Wholesale,Premium,67543,98.8,247,981.12,1608062,4.2,184,/api/a2a/gemini,2025-12-26,2026-02-04 13:00:43,99.90%,P2
Best Buy,CLT-78993,Electronics Retail,Standard,29876,98.6,253,470.02,1034461,2.9,73,/api/a2a/brand,2025-07-24,2026-02-03 19:00:43,99.85%,P3
Home Depot,CLT-78994,Home Improvement,Standard,31234,98.5,257,552.15,620612,5.0,85,/api/a2a/hushh-profile,2025-11-08,2026-02-04 03:00:43,99.85%,P3
Shopify Merchants,CLT-78995,E-commerce Platform,Premium,78910,98.9,235,1402.93,2075094,3.8,254,/api/a2a/hushh-profile,2025-08-14,2026-02-03 05:00:43,99.90%,P2
Amazon Sellers,CLT-78996,E-commerce,Enterprise,134567,98.7,248,1963.11,4333191,3.1,315,/api/a2a/brand,2026-01-19,2026-02-03 02:00:43,99.95%,P1
eBay Merchants,CLT-78997,E-commerce,Standard,45678,98.6,252,715.67,701414,6.5,116,/api/a2a/brand,2025-12-31,2026-02-04 17:00:43,99.85%,P3
Etsy Sellers,CLT-78998,E-commerce,Standard,34567,98.7,250,515.17,880099,3.9,127,/api/a2a/brand,2025-07-06,2026-02-03 15:00:43,99.85%,P3
Wayfair,CLT-78999,E-commerce Furniture,Standard,28901,98.6,254,424.15,1199624,2.4,68,/api/a2a/gemini,2025-10-20,2026-02-04 13:00:43,99.85%,P3
Zalando,CLT-79000,Fashion E-commerce,Premium,52345,98.8,244,927.78,1817007,2.9,167,/api/a2a/gemini,2026-01-29,2026-02-03 00:00:43,99.90%,P2
ASOS,CLT-79001,Fashion E-commerce,Standard,39876,98.7,249,653.16,694338,5.7,115,/api/a2a/brand,2025-08-02,2026-02-03 18:00:43,99.85%,P3
Farfetch,CLT-79002,Luxury E-commerce,Premium,48765,98.9,241,811.54,1953018,2.5,176,/api/a2a/hushh-profile,2025-08-18,2026-02-03 10:00:43,99.90%,P2
Net-a-Porter,CLT-79003,Luxury E-commerce,Standard,36789,98.8,245,643.82,737661,5.0,82,/api/a2a/brand,2026-01-16,2026-02-05 17:00:43,99.85%,P3
Mytheresa,CLT-79004,Luxury E-commerce,Standard,27654,98.9,243,450.63,1116551,2.5,70,/api/a2a/gemini,2025-07-25,2026-02-03 06:00:43,99.85%,P3
Ulta Beauty,CLT-79005,Beauty Retail,Premium,58901,98.7,248,860.69,1993440,3.0,163,/api/a2a/hushh-profile,2025-11-23,2026-02-03 03:00:43,99.90%,P2
MAC Cosmetics,CLT-79006,Beauty,Standard,32567,98.8,246,456.54,965167,3.4,83,/api/a2a/public,2025-10-08,2026-02-04 10:00:43,99.85%,P3
Estée Lauder,CLT-79007,Beauty,Premium,64321,98.9,239,1122.06,1745904,3.7,198,/api/a2a/brand,2025-11-23,2026-02-03 18:00:43,99.90%,P2
L'Oréal,CLT-79008,Beauty,Premium,71234,98.8,242,1127.84,2459950,2.9,278,/api/a2a/public,2026-01-01,2026-02-04 12:00:43,99.90%,P2
Shiseido,CLT-79009,Beauty,Standard,29345,98.9,244,448.63,1007860,2.9,100,/api/a2a/brand,2026-02-01,2026-02-05 13:00:43,99.85%,P3
Clinique,CLT-79010,Beauty,Standard,26789,98.8,247,469.76,821087,3.3,66,/api/a2a/public,2025-09-03,2026-02-04 04:00:43,99.85%,P3
Lancôme,CLT-79011,Beauty,Standard,31456,98.9,241,532.05,960679,3.3,88,/api/a2a/hushh-profile,2026-01-05,2026-02-04 14:00:43,99.85%,P3
Bobbi Brown,CLT-79012,Beauty,Starter,18234,98.7,251,258.22,295383,6.2,62,/api/a2a/public,2026-01-15,2026-02-03 08:00:43,99.80%,P4
Nars,CLT-79013,Beauty,Starter,16789,98.8,249,290.02,165193,10.2,54,/api/a2a/hushh-profile,2025-12-15,2026-02-03 17:00:43,99.80%,P4
Urban Decay,CLT-79014,Beauty,Starter,14567,98.7,252,238.37,244522,6.0,35,/api/a2a/gemini,2025-08-08,2026-02-03 02:00:43,99.80%,P4
Marriott International,CLT-79015,Hospitality,Enterprise,87654,98.8,241,1227.7,4293183,2.0,259,/api/a2a/gemini,2025-09-02,2026-02-03 22:00:43,99.95%,P1
Hilton Hotels,CLT-79016,Hospitality,Enterprise,82345,98.7,244,1306.04,4506641,1.8,183,/api/a2a/brand,2025-12-29,2026-02-03 05:00:43,99.95%,P1
Hyatt Hotels,CLT-79017,Hospitality,Premium,56789,98.8,247,824.45,2142634,2.7,135,/api/a2a/public,2025-11-19,2026-02-04 20:00:43,99.90%,P2
Four Seasons,CLT-79018,Luxury Hospitality,Premium,49876,99.0,237,827.08,2058075,2.4,124,/api/a2a/gemini,2025-09-22,2026-02-05 12:00:43,99.90%,P2
Ritz-Carlton,CLT-79019,Luxury Hospitality,Standard,38901,99.1,234,611.87,622109,6.3,150,/api/a2a/hushh-profile,2026-01-06,2026-02-03 09:00:43,99.85%,P3
Accor Hotels,CLT-79020,Hospitality,Premium,52345,98.7,249,816.03,1975725,2.6,166,/api/a2a/brand,2026-01-11,2026-02-03 11:00:43,99.90%,P2
IHG Hotels,CLT-79021,Hospitality,Standard,41234,98.6,252,636.25,601589,6.9,121,/api/a2a/brand,2025-10-24,2026-02-04 20:00:43,99.85%,P3
Airbnb Hosts,CLT-79022,Travel,Premium,65432,98.7,248,1086.65,1576768,4.1,184,/api/a2a/brand,2025-09-25,2026-02-03 13:00:43,99.90%,P2
Expedia Group,CLT-79023,Travel,Premium,58901,98.8,245,984.75,1879385,3.1,230,/api/a2a/hushh-profile,2025-09-11,2026-02-03 03:00:43,99.90%,P2
Booking.com,CLT-79024,Travel,Premium,62345,98.7,247,918.85,2442965,2.6,170,/api/a2a/gemini,2025-07-07,2026-02-05 01:00:43,99.90%,P2
Premium Shop,CLT-79025,Beauty,Standard,18382,98.6,256,259.63,720522,2.6,52,/api/a2a/brand,2026-02-05,2026-02-05 06:00:43,99.85%,P3
Elite Collection,CLT-79026,Beauty,Starter,7235,98.6,232,111.24,231764,3.1,26,/api/a2a/public,2026-01-29,2026-02-04 13:00:43,99.80%,P4
Premium Shop,CLT-79027,Luxury Goods,Starter,17045,98.9,230,286.51,187524,9.1,43,/api/a2a/public,2025-12-05,2026-02-05 21:00:43,99.80%,P4
Elite Collection,CLT-79028,Jewelry,Starter,12123,98.7,258,192.6,273616,4.4,27,/api/a2a/brand,2025-11-16,2026-02-05 16:00:43,99.80%,P4
Global House,CLT-79029,Beauty,Standard,19015,98.8,253,285.23,905045,2.1,56,/api/a2a/public,2026-01-06,2026-02-04 04:00:43,99.85%,P3
Fashion Emporium,CLT-79030,Beauty,Starter,16381,98.4,265,233.27,185707,8.8,53,/api/a2a/hushh-profile,2025-08-15,2026-02-03 14:00:43,99.80%,P4
Prime Shop,CLT-79031,Accessories,Starter,5246,98.8,237,75.5,255897,2.1,20,/api/a2a/hushh-profile,2025-11-07,2026-02-04 17:00:43,99.80%,P4
Luxury Collection,CLT-79032,Jewelry,Premium,9625,98.3,241,150.55,2329574,0.4,22,/api/a2a/brand,2025-07-17,2026-02-03 13:00:43,99.90%,P2
Prime Collection,CLT-79033,Fashion Retail,Premium,22199,98.9,270,358.72,2229359,1.0,59,/api/a2a/hushh-profile,2025-07-12,2026-02-05 19:00:43,99.90%,P2
Prime Collection,CLT-79034,Beauty,Standard,17778,98.7,251,251.1,1097319,1.6,57,/api/a2a/brand,2025-11-29,2026-02-05 05:00:43,99.85%,P3
Select Emporium,CLT-79035,Accessories,Premium,9903,98.8,244,167.78,2035712,0.5,30,/api/a2a/brand,2025-07-10,2026-02-04 23:00:43,99.90%,P2
Style Boutique,CLT-79036,Luxury Goods,Premium,21230,98.7,252,322.74,2068011,1.0,51,/api/a2a/hushh-profile,2025-07-06,2026-02-04 17:00:43,99.90%,P2
Style Gallery,CLT-79037,Fashion Retail,Standard,21568,98.5,235,342.15,851016,2.5,68,/api/a2a/hushh-profile,2025-12-07,2026-02-05 04:00:43,99.85%,P3
Global Store,CLT-79038,Luxury Goods,Standard,19096,98.8,241,283.43,1061785,1.8,44,/api/a2a/public,2025-09-17,2026-02-04 23:00:43,99.85%,P3
Select Collection,CLT-79039,Luxury Goods,Starter,20213,98.6,268,301.22,286042,7.1,73,/api/a2a/gemini,2025-10-18,2026-02-05 10:00:43,99.80%,P4
Select Gallery,CLT-79040,Luxury Goods,Starter,7823,98.5,239,119.0,396811,2.0,27,/api/a2a/gemini,2025-07-08,2026-02-05 03:00:43,99.80%,P4
Luxury Collection,CLT-79041,Luxury Goods,Standard,6957,98.3,235,119.81,716195,1.0,18,/api/a2a/brand,2026-01-18,2026-02-05 10:00:43,99.85%,P3
Elite Collection,CLT-79042,Luxury Goods,Standard,14991,98.5,259,250.57,1029675,1.5,36,/api/a2a/hushh-profile,2025-09-24,2026-02-04 21:00:43,99.85%,P3
Style Emporium,CLT-79043,Beauty,Standard,17600,99.0,270,249.41,1180801,1.5,70,/api/a2a/brand,2025-10-02,2026-02-03 22:00:43,99.85%,P3
Elite Collection,CLT-79044,Fashion Retail,Starter,13543,98.4,266,219.35,246102,5.5,33,/api/a2a/brand,2025-11-08,2026-02-05 21:00:43,99.80%,P4
Select Boutique,CLT-79045,Luxury Goods,Standard,23100,98.5,238,415.71,960340,2.4,60,/api/a2a/public,2026-01-14,2026-02-05 05:00:43,99.85%,P3
Fashion Gallery,CLT-79046,Fashion Retail,Premium,23541,98.8,235,349.14,1649776,1.4,53,/api/a2a/brand,2025-11-12,2026-02-04 03:00:43,99.90%,P2
Global Store,CLT-79047,Accessories,Starter,8458,99.0,264,122.89,340594,2.5,26,/api/a2a/hushh-profile,2025-12-27,2026-02-04 12:00:43,99.80%,P4
Prime Shop,CLT-79048,Accessories,Premium,19617,98.8,241,301.22,1753876,1.1,45,/api/a2a/brand,2025-10-10,2026-02-03 12:00:43,99.90%,P2
Fashion Collection,CLT-79049,Accessories,Starter,16332,98.6,233,274.47,248472,6.6,54,/api/a2a/hushh-profile,2025-09-03,2026-02-04 15:00:43,99.80%,P4
Prime Store,CLT-79050,Beauty,Premium,24346,98.3,233,409.05,1766302,1.4,68,/api/a2a/hushh-profile,2026-02-03,2026-02-03 00:00:43,99.90%,P2
Premium House,CLT-79051,Fashion Retail,Standard,14344,98.9,257,227.98,809291,1.8,51,/api/a2a/gemini,2025-08-28,2026-02-05 11:00:43,99.85%,P3
Luxury Shop,CLT-79052,Jewelry,Starter,5020,98.9,236,82.33,280874,1.8,12,/api/a2a/hushh-profile,2025-11-20,2026-02-03 16:00:43,99.80%,P4
Premium Shop,CLT-79053,Fashion Retail,Starter,15429,98.4,233,253.62,228771,6.7,51,/api/a2a/brand,2025-07-11,2026-02-04 10:00:43,99.80%,P4
Fashion Collection,CLT-79054,Fashion Retail,Premium,11991,98.5,266,198.16,2072378,0.6,42,/api/a2a/public,2025-10-11,2026-02-05 18:00:43,99.90%,P2
